streptococcus_initial_strain_cfu_ml,lactobacillus_initial_strain_cfu_ml,ideal_temperature_c,minimum_milk_proteins,titratable_acidity,pH_milk_sour_,fat_milk_over_100mg_,quality_product,lactobacillus_final_cfu_ml,streptococcus_final_cfu_ml,quality_product_
4.6930000000000005,5.376,40.593,2.622,1.171,4.539,1.8156,Low fat yogurt,9.02,7.87,0
4.7860000000000005,5.447,41.373999999999995,2.496,1.011,4.521,1.2484,Low fat yogurt,9.14,8.03,0
5.3420000000000005,5.962999999999999,41.398999999999994,2.423,1.153,4.479,1.5839,Low fat yogurt,10.0,8.96,0
5.733,4.516,40.782,2.611,1.156,4.438,1.3653,Low fat yogurt,7.58,9.62,0
5.106,4.0969999999999995,40.159,2.485,1.133,4.57,1.2232,Low fat yogurt,6.87,8.57,0
5.147,4.0489999999999995,40.227,2.557,1.1079999999999999,4.401,3.2469,Low fat yogurt,6.79,8.64,0
4.27,5.417000000000001,41.508,2.428,1.083,4.417,2.5009,Low fat yogurt,9.09,7.16,0
4.923,4.041,40.650999999999996,2.522,1.151,4.489,1.8419,Low fat yogurt,6.78,8.26,0
5.726,4.918,41.251999999999995,2.616,0.9790000000000001,4.578,1.2631,Low fat yogurt,8.25,9.61,0
5.3870000000000005,5.452999999999999,41.071999999999996,2.5069999999999997,1.1,4.519,1.6658,Low fat yogurt,9.15,9.04,0
4.484,4.501,40.719,2.695,0.983,4.566,1.9907,Low fat yogurt,7.55,7.52,0
4.853,5.756,40.336,2.4730000000000003,0.993,4.518,1.1808,Low fat yogurt,9.66,8.14,0
4.805,4.275,40.58,2.648,1.022,4.515,1.0278,Non fat yogurt,7.17,8.06,1
5.144,4.7330000000000005,40.315,2.635,1.023,4.492,1.7614,Low fat yogurt,7.94,8.63,0
4.218,5.899,40.143,2.693,1.0170000000000001,4.4319999999999995,3.6413,Regular yogurt,9.9,7.08,2
5.565,5.626,40.73,2.47,1.1520000000000001,4.6,1.7626,Low fat yogurt,9.44,9.34,0
5.098,5.657,40.757,2.481,0.9590000000000001,4.463,3.5611,Regular yogurt,9.49,8.55,2
5.853,5.355,40.63,2.625,1.075,4.47,3.2506,Regular yogurt,8.98,9.82,2
4.546,5.0280000000000005,41.458,2.6289999999999996,0.951,4.486000000000001,3.7869,Regular yogurt,8.44,7.63,2
5.709,5.926,40.376,2.468,1.102,4.559,3.2889,Regular yogurt,9.94,9.58,2
4.663,4.245,41.977,2.425,1.008,4.408,1.4575,Low fat yogurt,7.12,7.82,0
4.901,5.932,41.093999999999994,2.595,1.038,4.5089999999999995,2.1534,Low fat yogurt,9.95,8.22,0
4.42,5.466,41.608000000000004,2.546,1.11,4.501,2.0439,Low fat yogurt,9.17,7.42,0
5.349,4.699,41.178999999999995,2.437,1.139,4.516,3.969,Regular yogurt,7.88,8.97,2
5.205,4.967,40.03,2.499,1.0190000000000001,4.433,3.6767,Regular yogurt,8.33,8.73,2
4.515,5.327000000000001,40.022,2.677,0.977,4.4,1.0175,Non fat yogurt,8.94,7.57,1
5.667999999999999,5.376,40.923,2.502,1.0759999999999998,4.539,3.1414,Low fat yogurt,9.02,9.51,0
4.346,4.12,41.238,2.483,1.011,4.473,3.4881,Regular yogurt,6.91,7.29,2
5.836,4.52,40.424,2.425,1.002,4.522,2.4288,Low fat yogurt,7.58,9.79,0
5.5920000000000005,5.109,41.103,2.6639999999999997,1.117,4.485,2.4991,Low fat yogurt,8.57,9.38,0
